Category,Test_Name,PHMCOLD_high,PHMHOT_high,CLASSCOLD_high,CLASSHOT_high,ALL_high,PHMCOLD_low,PHMHOT_low,CLASSCOLD_low,CLASSHOT_low,ALL_low
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_9_2M,-0.1,-0.1,-0.1,-0.53,-0.1,-1.5,-1.5,-1.5,-0.912,-1.5
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_1,1.32842479,1.26413922,1.2663786,1.15378585,1.32842479,0.68085521,0.67407078,0.72070079,0.67237065,0.67407078
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_10,0.87313268,0.74108887,0.87313268,0.73108887,0.87313268,0.82494132,0.70136713,0.82494132,0.70136713,0.70136713
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_11,0.88193498,0.79778917,0.88193498,0.78778917,0.88193498,0.84001902,0.72883683,0.84001902,0.72883683,0.72883683
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_11_P,0.88142093,0.79724109,0.88142093,0.78724109,0.88142093,0.83935107,0.72824091,0.83935107,0.72824091,0.72824091
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_12,0.87748949,0.7632492,0.87748949,0.7532492,0.87748949,0.82840451,0.7225808,0.82840451,0.7225808,0.7225808
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_12_P,0.87675772,0.76297506,0.87675772,0.75297506,0.87675772,0.82772628,0.72178694,0.82772628,0.72178694,0.72178694
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_13,0.92608492,0.8058529,0.92608492,0.7958529,0.92608492,0.87460508,0.7577971,0.87460508,0.7577971,0.7577971
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_13_P,0.93338298,0.81282505,0.93338298,0.80282505,0.93338298,0.86578102,0.74922295,0.86578102,0.74922295,0.74922295
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_14,0.92819406,0.81238425,0.92819406,0.80238425,0.92819406,0.87989594,0.75813175,0.87989594,0.75813175,0.75813175
